@@,name,position
->,Sherali Mirzo,Minister of Defense of Tajikistan->Minister of Defense
---,Sirodjidin Aslov,Minister of Foreign Affairs of the Republic of Tajikistan
---,Kokhir Rasulzoda,Prime Minister of Tajikistan
+++,Ziyozoda Sulaimon Rizoi,Minister of Agriculture
+++,Zavkizoda Zavki Amin,Minister of Economic Development and Trade
+++,Yatimov Saimumin Sattorovich,Chairman of the State Committee for National Security
+++,Usmonzoda Usmonali Yunusali,Deputy Prime Minister
+++,Sirojiddin Muhriddin,Minister of Foreign Affairs
+++,Sattoriyon Matlubahon Amonzoda,Deputy Prime Minister
+++,Rahimzoda Ramazon Hamro,Minister of Internal Affairs
+++,Kohir Rasulzoda,Prime Minister
+++,Kodirzoda Sadi Sanginmurod,Chairman of the State Committee for Investments and State Property Management
+++,Khojazoda Orif Ashuri,Chairman of the State Committee for Land Management and Geodesy
+++,Kahhorzoda Faiziddin Sattor,Minister of Finance
+++,Kabir Sherali,Minister of Industry and New Technologies
+++,Juma Daler Shofakir,Minister of Energy and Water Resources
+++,Imomzoda Muhammadyusuf Saydali,Minister of Education and Science
+++,Davlatzoda Zulfiya Davlat,Minister of Culture
+++,Davlatali Said,First Deputy Prime Minister
+++,Azim Ibrohim,Minister of Transport
+++,Ashuriyon Muzaffar Qurbonmuhammad,Minister of Justice
+++,Amonzoda Shirin Shodi,"Minister of Labor, Migration and Population Employment"
+++,Abdullozoda Jamoliddin Abdullo,Minister of Health and Social Protection of the Population
