id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q2734978,Prime Minister of Tajikistan,Q863,Q863,,,1991-06-25,,,,Prime Minister of Tajikistan
Q25612350,First Deputy Prime Minister of Tajikistan,,Q863,,,,,,,
Q110159958,Deputy Prime Minister of Tajikistan,Q863,Q863,,,,,,,
Q20606076,Minister of Agriculture of Tajikistan,,Q863,,,,,,,
Q110159030,Minister of Culture of Tajikistan,,Q863,,,,,,,
Q20606212,Minister of Defence of Tajikistan,Q863,Q863,,,,,,,
Q20606175,Minister of Economic Development and Trade of Tajikistan,,Q863,,,,,,,
Q20606126,Minister of Education and Science of Tajikistan,,Q863,,,,,,,
Q25612366,Minister of Energy and Water Resources of Tajikistan,,Q863,,,,,,,
Q110159050,Minister of Finance of Tajikistan,,Q863,,,,,,,
Q25593310,Minister of Foreign Affairs of the Republic of Tajikistan,Q863,Q863,,,,,,,
Q20606196,Minister of Health,,Q863,,,,,,,
Q110159098,Minister of Industry and New Technologies of Tajikistan,,Q863,,,,,,,
Q20606091,Minister of Internal Affairs,,Q863,,,,,,,
Q20606058,Minister of Justice,,Q863,,,,,,,
Q20606157,"Minister of Labour, Migration and Population Employment of Tajikistan",,Q863,,,,,,,
Q110159110,Minister of Transport of Tajikistan,,Q863,,,,,,,
Q110161157,Chairman of the State Committee for Investments and State Property Management,Q863,Q863,,,,,,,
Q110161209,Chairman of the State Committee for Land Management and Geodesy,Q863,Q863,,,,,,,
Q20610175,Chairman of the State Committee for National Security,,,,,,,,,
Q110161304,Speaker of the National Assembly of Tajikistan,,,,,,,,,
Q110161322,Speaker of the Assembly of Representatives,,,,,,,,,
Q110161358,Governor of the National Bank of Tajikistan,Q863,,,,,,,,
Q60544015,Chief of the General Staff (Tajikistan),,,,,,,,,Chief of the General Staff (Tajikistan)
